iter	RMSE
0	0.9566931026
1	0.9092657874
2	0.8615312137
3	0.8264041312
4	0.7949034433
5	0.7637593133
6	0.734855163
7	0.7091316611
8	0.6858900558
9	0.6644547038
10	0.6423601682
11	0.623454997
12	0.6097985291
13	0.5971509407
14	0.5866263573
15	0.5721038114
16	0.559587218
17	0.5456165332
18	0.5374601615
19	0.5278767686
20	0.5193899858
21	0.5101290334
22	0.5021408292
23	0.4927424952
24	0.4854774278
25	0.4843708129
26	0.4766750567
27	0.4684621748
28	0.4642616705
29	0.4562573538
30	0.4503489566
31	0.4450900778
32	0.4446982357
33	0.4407703031
34	0.4372014231
35	0.4320412273
36	0.4256447991
37	0.4218559102
38	0.4215467187
39	0.4211127597
40	0.4207141285
41	0.4168212297
42	0.4134489326
43	0.4126520748
44	0.4124224065
45	0.4121980129
46	0.40879961
47	0.4083248604
48	0.4073572847
49	0.4071690533
50	0.4030148948
51	0.4009070897
52	0.4006865383
53	0.399360007
54	0.3984443007
55	0.39777539
56	0.3967344803
57	0.3950334268
58	0.394267634
59	0.3935593076
60	0.3914266919
61	0.3906046944
62	0.3889251125
63	0.3868295135
64	0.3843837493
65	0.3832851142
66	0.3831880233
67	0.3821577748
68	0.3813635982
69	0.379626625
70	0.3795396853
71	0.3775074253
72	0.3751909848
73	0.3747549696
74	0.3738667659
75	0.3705822954
76	0.3679712908
77	0.3661307454
78	0.3629346283
79	0.3613440514
80	0.3604743433
81	0.3585636181
82	0.3559217007
83	0.3546717893
84	0.3546105523
85	0.352614284
86	0.3512419838
87	0.3510954708
88	0.3491967171
89	0.3490716409
90	0.3480110889
91	0.345918787
92	0.3444367147
93	0.3420184408
94	0.3413672438
95	0.339073192
96	0.3386159784
97	0.336972023
98	0.3346980466
99	0.3343433097
100	0.3324957178
101	0.33209379
102	0.3302443944
103	0.3291632403
104	0.3291221453
105	0.3272564747
106	0.3263269401
107	0.3244991157
108	0.3242155023
109	0.3225026598
110	0.3213521547
111	0.3199532798
112	0.318927229
113	0.3170478808
114	0.3157103145
115	0.3156530081
116	0.3156143706
117	0.3130878762
118	0.3112588502
119	0.3108235883
120	0.309945377
121	0.3088964822
122	0.3078811667
123	0.3069638419
124	0.3058862218
125	0.3046726684
126	0.3024223346
127	0.3012228064
128	0.3002768616
129	0.2983757849
130	0.2974704069
131	0.2954854463
132	0.2950372607
133	0.2945929822
134	0.293824669
135	0.2935639452
136	0.292035785
137	0.2910718461
138	0.2899896433
139	0.2895315685
140	0.2872627428
141	0.2865790769
142	0.2864365547
143	0.2863277144
144	0.2861910287
145	0.2842461446
146	0.283166784
147	0.2830599484
148	0.2823215799
149	0.2812984351
150	0.2793002471
151	0.2765951113
152	0.2759433029
153	0.2746184872
154	0.2736583428
155	0.2719970856
156	0.2715900475
157	0.2712768904
158	0.2697369022
159	0.2693550602
160	0.268647331
161	0.2675075139
162	0.2672032479
163	0.2670195562
164	0.2650498856
165	0.2646338817
166	0.2643580037
167	0.2641886397
168	0.2625528488
169	0.2621787391
170	0.2620559239
171	0.2619441073
172	0.2616760888
173	0.2612823708
174	0.261017356
175	0.2597459797
176	0.2597285078
177	0.2595703373
178	0.2595632389
179	0.2592171275
180	0.259190145
181	0.2577467886
182	0.2567231406
183	0.2566278726
184	0.2553904646
185	0.2542951185
186	0.2527691793
187	0.2517872765
188	0.2510595348
189	0.2509433494
190	0.2497558152
191	0.2488190964
192	0.24880315
