iter	Passed	Remaining
0	109	54883
1	235	58729
2	355	58956
3	476	59055
4	592	58639
5	709	58426
6	822	57930
7	933	57381
8	1067	58248
9	1190	58345
10	1304	57982
11	1431	58206
12	1545	57879
13	1650	57307
14	1757	56814
15	1863	56376
16	1980	56260
17	2086	55868
18	2190	55457
19	2292	55028
20	2394	54623
21	2496	54249
22	2598	53893
23	2702	53591
24	2804	53277
25	2883	52577
26	2980	52219
27	3090	52099
28	3196	51908
29	3303	51748
30	3405	51521
31	3514	51398
32	3559	50370
33	3657	50133
34	3762	49990
35	3865	49821
36	3971	49700
37	4073	49527
38	4107	48547
39	4208	48401
40	4306	48215
41	4409	48083
42	4512	47955
43	4615	47829
44	4649	47010
45	4678	46169
46	4770	45983
47	4870	45860
48	4968	45730
49	5022	45203
50	5130	45170
51	5234	45100
52	5289	44615
53	5390	44523
54	5495	44460
55	5602	44422
56	5706	44348
57	5809	44270
58	5913	44201
59	6015	44111
60	6131	44124
61	6229	44009
62	6332	43924
63	6433	43825
64	6536	43746
65	6638	43653
66	6673	43130
67	6768	43002
68	6874	42937
69	6973	42837
70	7006	42334
71	7098	42196
72	7201	42125
73	7311	42091
74	7417	42034
75	7516	41936
76	7624	41882
77	7730	41825
78	7832	41739
79	7934	41654
80	8037	41575
81	8139	41490
82	8239	41396
83	8337	41291
84	8380	40918
85	8479	40822
86	8581	40736
87	8660	40544
88	8757	40442
89	8853	40334
90	8957	40258
91	9056	40163
92	9153	40058
93	9256	39978
94	9362	39914
95	9460	39813
96	9560	39719
97	9666	39650
98	9769	39572
99	9872	39488
100	9980	39426
101	10082	39341
102	10181	39244
103	10285	39163
104	10319	38822
105	10413	38707
106	10515	38623
107	10616	38534
108	10718	38448
109	10813	38337
110	10911	38240
111	11018	38170
112	11122	38092
113	11226	38011
114	11335	37949
115	11438	37864
116	11539	37775
117	11650	37716
118	11788	37743
119	11907	37708
120	12033	37691
121	12154	37657
122	12278	37634
123	12401	37603
124	12519	37558
125	12638	37515
126	12766	37494
127	12882	37439
128	12998	37383
129	13118	37338
130	13240	37294
131	13361	37250
132	13478	37192
133	13598	37142
134	13720	37095
135	13832	37021
136	13953	36972
137	14071	36911
138	14189	36852
139	14303	36780
140	14419	36713
141	14538	36652
142	14726	36764
143	14903	36844
144	15190	37189
145	15489	37556
146	15671	37631
147	15831	37653
148	15996	37682
149	16151	37686
150	16279	37626
151	16400	37548
152	16530	37490
153	16655	37420
154	16774	37337
155	16892	37249
156	17016	37176
157	17132	37084
158	17247	36990
159	17360	36890
160	17478	36802
161	17592	36706
162	17709	36613
163	17823	36516
164	17951	36446
165	18091	36400
166	18212	36315
167	18320	36204
168	18424	36086
169	18527	35964
170	18627	35838
171	18727	35712
172	18829	35590
173	18934	35474
174	19038	35356
175	19137	35230
176	19240	35111
177	19345	34996
178	19449	34878
179	19570	34792
180	19694	34710
181	19806	34606
182	19911	34492
183	20017	34377
184	20116	34252
185	20220	34135
186	20319	34010
187	20426	33898
188	20529	33780
189	20637	33671
190	20741	33555
191	20842	33434
192	20946	33319
193	21047	33198
194	21149	33080
195	21249	32958
196	21350	32839
197	21453	32722
198	21559	32609
199	21668	32503
200	21772	32387
201	21876	32273
202	21982	32161
203	22080	32039
204	22186	31926
205	22294	31818
206	22405	31713
207	22509	31599
208	22613	31485
209	22713	31366
210	22816	31251
211	22925	31143
212	23027	31027
213	23125	30906
214	23233	30798
215	23330	30675
216	23430	30557
217	23535	30444
218	23651	30347
219	23757	30237
220	23864	30127
221	23972	30019
222	24077	29907
